Subject,Run,Console_MEG_Console_Audio_Correlation,Console_MEG_Console_Audio_Offset_s,Subject_MEG_Subject_Audio_Correlation,Subject_MEG_Subject_Audio_Offset_s,Selected_Pairing,Final_Correlation,Final_Offset_s,Quality
sub-10,5,0.9174569269880755,0.778,0.485336267094217,0.765,console_meg_console_audio,0.9174569269880755,0.778,excellent
sub-11,1,0.27555926922436347,4.635,0.5115510292755605,4.622,subject_meg_subject_audio,0.5115510292755605,4.622,good
sub-11,2,0.23301110540759315,1.5,0.35343987733913257,1.485,subject_meg_subject_audio,0.35343987733913257,1.485,moderate
sub-11,3,0.42409918666428226,3.436,0.5388048040177857,3.424,subject_meg_subject_audio,0.5388048040177857,3.424,good
sub-11,4,0.5015795953994889,4.127,0.3385858444347805,6.55,console_meg_console_audio,0.5015795953994889,4.127,good
sub-11,5,0.2302680236154199,1.771,0.4682037350153208,1.754,subject_meg_subject_audio,0.4682037350153208,1.754,moderate
sub-13,1,0.9126580997757152,8.142,0.3749017995951386,8.124,console_meg_console_audio,0.9126580997757152,8.142,excellent
sub-13,2,0.9411130754781429,3.66,0.23879686669556585,3.647,console_meg_console_audio,0.9411130754781429,3.66,excellent
sub-13,3,0.9597845189622242,4.244,0.46597109766719974,4.231,console_meg_console_audio,0.9597845189622242,4.244,excellent
sub-13,4,0.9386665279713291,1.968,0.5183289211658123,1.951,console_meg_console_audio,0.9386665279713291,1.968,excellent
sub-13,5,0.9341022908459237,3.458,0.4244624249657712,3.441,console_meg_console_audio,0.9341022908459237,3.458,excellent
sub-14,1,0.4179784649716776,3.682,0.4701369419257091,3.668,subject_meg_subject_audio,0.4701369419257091,3.668,moderate
sub-14,2,0.3871013956760347,1.969,0.41424236255832364,1.959,subject_meg_subject_audio,0.41424236255832364,1.959,moderate
sub-14,3,0.4501478379157043,2.21,0.44496994818771385,2.194,console_meg_console_audio,0.4501478379157043,2.21,moderate
sub-14,4,0.22856348946219499,1.207,0.31203307774930955,2.585,subject_meg_subject_audio,0.31203307774930955,2.585,moderate
sub-14,5,0.35420792612556246,3.631,0.4240250505972385,3.617,subject_meg_subject_audio,0.4240250505972385,3.617,moderate
sub-15,1,0.4156460105406959,2.168,0.4079649525973754,2.152,console_meg_console_audio,0.4156460105406959,2.168,moderate
sub-15,2,0.39278384911331715,2.083,0.3229974301102115,1.958,console_meg_console_audio,0.39278384911331715,2.083,moderate
sub-15,3,0.43518434132470346,2.233,0.2575638622364657,2.097,console_meg_console_audio,0.43518434132470346,2.233,moderate
sub-15,4,0.4881597228028751,-5.442,0.27425086701072615,1.518,console_meg_console_audio,0.4881597228028751,-5.442,moderate
sub-15,5,0.5600853261819634,1.761,0.27890973925404017,1.74,console_meg_console_audio,0.5600853261819634,1.761,good
sub-16,1,0.5924619001703915,3.756,0.5349635146240229,3.746,console_meg_console_audio,0.5924619001703915,3.756,good
sub-16,2,0.24446459535206722,2.341,0.4762970064754498,2.329,subject_meg_subject_audio,0.4762970064754498,2.329,moderate
sub-16,3,0.5763834102925517,2.403,0.5493092779795375,2.396,console_meg_console_audio,0.5763834102925517,2.403,good
sub-16,4,0.3359850324441313,1.532,0.500942300920288,1.522,subject_meg_subject_audio,0.500942300920288,1.522,good
sub-16,5,0.5274223286022414,1.406,0.5438030642751727,1.396,subject_meg_subject_audio,0.5438030642751727,1.396,good
sub-17,1,0.47906280662489115,1.926,0.6269373648220475,1.913,subject_meg_subject_audio,0.6269373648220475,1.913,good
sub-17,2,0.31682880006483705,1.763,0.482518605291587,1.751,subject_meg_subject_audio,0.482518605291587,1.751,moderate
sub-17,3,0.5583238208218154,2.73,0.6370806729063826,2.708,subject_meg_subject_audio,0.6370806729063826,2.708,good
sub-17,4,0.21667225217419403,2.252,0.5107878980197119,2.237,subject_meg_subject_audio,0.5107878980197119,2.237,good
sub-17,5,0.4212351761500337,1.548,0.5477279043174683,1.53,subject_meg_subject_audio,0.5477279043174683,1.53,good
sub-18,1,0.6641217778146913,5.692,0.5817166151081629,5.679,console_meg_console_audio,0.6641217778146913,5.692,good
sub-18,2,0.4799440807949174,3.487,0.3663958475229573,3.473,console_meg_console_audio,0.4799440807949174,3.487,moderate
sub-18,3,0.5414801941078052,2.134,0.6320140133960837,2.122,subject_meg_subject_audio,0.6320140133960837,2.122,good
sub-18,4,0.356120852482361,4.283,0.31796358534767843,4.265,console_meg_console_audio,0.356120852482361,4.283,moderate
sub-18,5,0.5280834912869465,2.699,0.5884931124871486,2.686,subject_meg_subject_audio,0.5884931124871486,2.686,good
sub-19,1,0.6092952118210242,2.697,0.5205849454709768,2.683,console_meg_console_audio,0.6092952118210242,2.697,good
sub-19,2,0.5632315622089583,3.148,0.3119912924869105,3.019,console_meg_console_audio,0.5632315622089583,3.148,good
sub-19,3,0.5488113367301879,2.123,0.4453818449919273,2.103,console_meg_console_audio,0.5488113367301879,2.123,good
sub-19,4,0.46147132005776703,1.68,0.24970324074057576,1.656,console_meg_console_audio,0.46147132005776703,1.68,moderate
sub-19,5,0.6825243531362606,1.755,0.5076719631189897,1.739,console_meg_console_audio,0.6825243531362606,1.755,good
sub-21,1,0.6785715768829009,4.88,0.32638491454256124,4.809,console_meg_console_audio,0.6785715768829009,4.88,good
sub-21,2,0.3734471941998434,-3.111,0.26427827908785456,2.592,console_meg_console_audio,0.3734471941998434,-3.111,moderate
sub-21,3,0.5815034241967856,1.754,0.3048494658278033,1.63,console_meg_console_audio,0.5815034241967856,1.754,good
sub-21,4,0.4481180424880783,1.944,0.27372189319262663,2.111,console_meg_console_audio,0.4481180424880783,1.944,moderate
sub-21,5,0.6398056793169635,3.246,0.2612775288343249,3.116,console_meg_console_audio,0.6398056793169635,3.246,good
sub-22,1,0.7028102799333539,4.208,0.3432008622670756,4.078,console_meg_console_audio,0.7028102799333539,4.208,excellent
sub-22,2,0.6725507657305357,2.382,0.341135749426352,2.27,console_meg_console_audio,0.6725507657305357,2.382,good
sub-22,3,0.5637960286755771,4.032,0.3525702852107592,3.91,console_meg_console_audio,0.5637960286755771,4.032,good
sub-22,4,0.5351990421694917,2.206,0.32411788250076096,2.068,console_meg_console_audio,0.5351990421694917,2.206,good
sub-22,5,0.5706210888428603,2.124,0.3389077520277231,2.016,console_meg_console_audio,0.5706210888428603,2.124,good
sub-23,1,0.8370242410552527,4.501,0.6302083095417039,4.484,console_meg_console_audio,0.8370242410552527,4.501,excellent
sub-23,2,0.6839007507279641,4.663,0.44428044878931344,4.649,console_meg_console_audio,0.6839007507279641,4.663,good
sub-23,3,0.7589673751624635,2.326,0.5971597050460097,2.301,console_meg_console_audio,0.7589673751624635,2.326,excellent
sub-23,4,0.5224348818485711,2.095,0.5572157110161402,2.077,subject_meg_subject_audio,0.5572157110161402,2.077,good
sub-23,5,0.6919533544044708,2.142,0.5682045181662916,2.126,console_meg_console_audio,0.6919533544044708,2.142,good
sub-24,1,0.5754645288796016,4.611,0.5247620039883701,4.607,console_meg_console_audio,0.5754645288796016,4.611,good
sub-24,2,0.48807742616764954,2.091,0.28257200135029703,1.944,console_meg_console_audio,0.48807742616764954,2.091,moderate
sub-24,3,0.677271384912592,2.59,0.5402342259316188,2.576,console_meg_console_audio,0.677271384912592,2.59,good
sub-24,4,0.5640169992668402,2.759,0.22411767844244945,2.578,console_meg_console_audio,0.5640169992668402,2.759,good
sub-24,5,0.7251842432543026,1.921,0.43021196356393276,1.897,console_meg_console_audio,0.7251842432543026,1.921,excellent
sub-25,1,0.72514170140887,4.041,0.6801995525284253,4.028,console_meg_console_audio,0.72514170140887,4.041,excellent
sub-25,2,0.4699532856681966,2.125,0.3128044198817485,2.102,console_meg_console_audio,0.4699532856681966,2.125,moderate
sub-25,3,0.6493093831513211,1.848,0.6685572340810032,1.833,subject_meg_subject_audio,0.6685572340810032,1.833,good
sub-25,4,0.42122790890496636,1.604,0.23715105106396328,1.582,console_meg_console_audio,0.42122790890496636,1.604,moderate
sub-25,5,0.6061237419608494,1.514,0.6803165289921324,1.501,subject_meg_subject_audio,0.6803165289921324,1.501,good
sub-26,1,0.5791836782303356,2.308,0.5209579286286132,2.29,console_meg_console_audio,0.5791836782303356,2.308,good
sub-26,2,0.3315570964154044,1.98,0.28239127912094697,1.965,console_meg_console_audio,0.3315570964154044,1.98,moderate
sub-26,3,0.5191336253653479,2.68,0.4902721368375592,2.662,console_meg_console_audio,0.5191336253653479,2.68,good
sub-26,4,0.26424455761003035,1.528,0.23828648691585175,1.518,console_meg_console_audio,0.26424455761003035,1.528,poor
sub-26,5,0.6784095318447938,1.702,0.44877252130105333,1.688,console_meg_console_audio,0.6784095318447938,1.702,good
sub-27,1,0.6806178702172138,3.891,0.6447139635840206,3.879,console_meg_console_audio,0.6806178702172138,3.891,good
sub-27,2,0.49319047952453493,2.57,0.40206229889782613,2.558,console_meg_console_audio,0.49319047952453493,2.57,moderate
sub-27,3,0.6708882300388752,2.619,0.5901367131057706,2.61,console_meg_console_audio,0.6708882300388752,2.619,good
sub-27,4,0.4666391127089749,1.514,0.33417247585972265,1.503,console_meg_console_audio,0.4666391127089749,1.514,moderate
sub-27,5,0.6800416400319796,2.674,0.5740169061420888,2.661,console_meg_console_audio,0.6800416400319796,2.674,good
sub-29,1,0.9233430536080058,2.584,0.9033847055194439,2.573,console_meg_console_audio,0.9233430536080058,2.584,excellent
sub-29,2,0.7741979184121848,2.917,0.5297504937470683,2.906,console_meg_console_audio,0.7741979184121848,2.917,excellent
sub-29,3,0.9175989878405734,2.833,0.8951616992344242,2.816,console_meg_console_audio,0.9175989878405734,2.833,excellent
sub-29,4,0.8030947943759779,2.238,0.4938676882020511,2.226,console_meg_console_audio,0.8030947943759779,2.238,excellent
sub-29,5,0.8514172869420767,1.828,0.8842508291886507,1.817,subject_meg_subject_audio,0.8842508291886507,1.817,excellent
sub-31,1,0.8544146402807635,3.246,0.9535138178682294,3.235,subject_meg_subject_audio,0.9535138178682294,3.235,excellent
sub-31,2,0.6793801554693801,7.046,0.7821833736283531,7.034,subject_meg_subject_audio,0.7821833736283531,7.034,excellent
sub-31,3,0.8352142182025523,5.897,0.9545651740021761,5.879,subject_meg_subject_audio,0.9545651740021761,5.879,excellent
sub-31,4,0.6605372485462679,2.142,0.7574863780452017,2.13,subject_meg_subject_audio,0.7574863780452017,2.13,excellent
sub-31,5,0.8303130399539973,2.954,0.9388455909132012,2.943,subject_meg_subject_audio,0.9388455909132012,2.943,excellent
sub-32,1,0.9144688044967755,2.516,0.9018109298344857,2.505,console_meg_console_audio,0.9144688044967755,2.516,excellent
sub-32,2,0.5606585722945189,5.5,0.6464928451709051,5.488,subject_meg_subject_audio,0.6464928451709051,5.488,good
sub-32,3,0.8615437961861888,2.442,0.9168672640326482,2.425,subject_meg_subject_audio,0.9168672640326482,2.425,excellent
sub-32,4,0.5696959660065313,2.612,0.6081698404354355,2.595,subject_meg_subject_audio,0.6081698404354355,2.595,good
sub-32,5,0.7742670704041344,2.598,0.8750797829745074,2.58,subject_meg_subject_audio,0.8750797829745074,2.58,excellent
